"","Chapter","Verse_Number","Text","Text_clean"
"1",5,1,"Intu iyaal Allah al-yihibbuku wa achaan da, khalli haalku tabga misil haalah.","intu iyaal allah alyihibbuku wa achaan da khalli haalku tabga misil haalah"
"2",5,2,"Iichu be l-mahabba al-misil mahabbat al-Masiih al-yihibbina lahaddi fadaana be ruuhah wa bigi misil hadiiye le Allah wa misil dahiiye al-tiraddi Allah.","iichu be lmahabba almisil mahabbat almasiih alyihibbina lahaddi fadaana be ruuhah wa bigi misil hadiiye le allah wa misil dahiiye altiraddi allah"
"3",5,3,"Laakin al-zina wa l-haal al-cheene wa l-tama’ khalli yabgo ma fiihum ambeenaatku marra waahid. Wa ma tihajju fooghum zaatah. Dool ma af’aal hana l-naas al-saalihiin.","laakin alzina wa lhaal alcheene wa ltama khalli yabgo ma fiihum ambeenaatku marra waahid wa ma tihajju fooghum zaatah dool ma afaal hana lnaas alsaalihiin"
"4",5,4,"Abadan ma tihajju kalaam cheen wa la kalaam hana l-safaaha wa abadan ma tal’abo ambeenaatku be kalaam fasil. Kulla l-kalaam al-misil da ma waajib. Fi badalah, hajju be chukur.","abadan ma tihajju kalaam cheen wa la kalaam hana lsafaaha wa abadan ma talabo ambeenaatku be kalaam fasil kulla lkalaam almisil da ma waajib fi badalah hajju be chukur"
"5",5,5,"Ni’akkid leeku kan naadum zannaay walla nijis walla tammaa’, hu ma yalga cheyy fi Mamlakat Allah wa l-Masiih. Al-tama’ hu misil ibaadat al-asnaam.","niakkid leeku kan naadum zannaay walla nijis walla tammaa hu ma yalga cheyy fi mamlakat allah wa lmasiih altama hu misil ibaadat alasnaam"
"6",5,6,"Ma tikhallu naadum yukhuchchuku be kalaam baatil. Be sabab al-zunuub al-misil dool, Allah yinazzil khadabah foog al-aasiyiin.","ma tikhallu naadum yukhuchchuku be kalaam baatil be sabab alzunuub almisil dool allah yinazzil khadabah foog alaasiyiin"
"7",5,7,"Achaan da, ma tichaarukuuhum fi haalhum.","achaan da ma tichaarukuuhum fi haalhum"
"8",5,8,"Awwal intu bas al-dalaam wa laakin hassa’ bigiitu nuur be alaakhitku ma’a l-Rabb. Iichu be l-haal al-waajbe le ahal al-nuur.","awwal intu bas aldalaam wa laakin hassa bigiitu nuur be alaakhitku maa lrabb iichu be lhaal alwaajbe le ahal alnuur"
"9",5,9,"Achaan nuur Allah yijiib al-kheer wa l-haal al-saalhe wa l-hagg wa hu yimagginhum fi guluub al-naas.","achaan nuur allah yijiib alkheer wa lhaal alsaalhe wa lhagg wa hu yimagginhum fi guluub alnaas"
"10",5,10,"A’arfu tamaam al-cheyy al-yiraddi al-Rabb.","aarfu tamaam alcheyy alyiraddi alrabb"
"11",5,11,"Ma tichaaruku fi amal hana ahal al-dalaam al-ma yimaggin cheyy adiil. Akheer afdaho al-cheyy al-humman gaa’idiin yisawwuuh.","ma tichaaruku fi amal hana ahal aldalaam alma yimaggin cheyy adiil akheer afdaho alcheyy alhumman gaaidiin yisawwuuh"
"12",5,12,"Achaan al-cheyy al-humman gaa’idiin yisawwuuh be talbiid cheen bilheen lahaddi nakhjalo kan nihajju beyah.","achaan alcheyy alhumman gaaidiin yisawwuuh be talbiid cheen bilheen lahaddi nakhjalo kan nihajju beyah"
"13",5,13,"Achaan ayyi cheyy kan ankachaf fi l-nuur khalaas yinchaaf.","achaan ayyi cheyy kan ankachaf fi lnuur khalaas yinchaaf"
