"","Chapter","Verse_Number","Text","Text_clean"
"1",4,1,"Achaan kulla l-kalaam da, ana al-masjuun hini fi chaan Rabbina niwassiiku, iichu be l-haal al-waajbe le l-naas al-Allah naadaahum.","achaan kulla lkalaam da ana almasjuun hini fi chaan rabbina niwassiiku iichu be lhaal alwaajbe le lnaas alallah naadaahum"
"2",4,2,"Abgo daayman daluuliin. Wa sawwu kulla cheyy be nafas baarid. Wa abgo daayman sabuuriin. Wa sabburu nafisku ambeenaatku be l-mahabba.","abgo daayman daluuliin wa sawwu kulla cheyy be nafas baarid wa abgo daayman sabuuriin wa sabburu nafisku ambeenaatku be lmahabba"
"3",4,3,"Al-Ruuh al-Khudduus ja’alaaku cha’ab waahid. Wa jaahudu achaan al-wihda ma tatlaf. Wa ahfado al-wihda di be l-salaam.","alruuh alkhudduus jaalaaku chaab waahid wa jaahudu achaan alwihda ma tatlaf wa ahfado alwihda di be lsalaam"
"4",4,4,"Jisim al-Masiih waahid bas wa l-Ruuh al-Khudduus hu kula waahid bas. Wa misil da, al-warasa al-Allah naadaaku achaan talgooha kula waahide.","jisim almasiih waahid bas wa lruuh alkhudduus hu kula waahid bas wa misil da alwarasa alallah naadaaku achaan talgooha kula waahide"
"5",4,5,"Wa Rabbina hu waahid wa iimaanna waahid wa kullina khattasoona be nafs al-khattisiin.","wa rabbina hu waahid wa iimaanna waahid wa kullina khattasoona be nafs alkhattisiin"
"6",4,6,"Wa Allah hu waahid wa hu Abuuna kullina. Wa hu Rabb kulla cheyy wa gaa’id foogna kullina wa mawjuud ma’aana kullina.","wa allah hu waahid wa hu abuuna kullina wa hu rabb kulla cheyy wa gaaid foogna kullina wa mawjuud maaana kullina"
"7",4,7,"Wa laakin ayyi waahid minnina ligi atiiye khaassa min al-Masiih al-antaaha hasab ni’matah achaan beeha nakhdumu leyah.","wa laakin ayyi waahid minnina ligi atiiye khaassa min almasiih alantaaha hasab nimatah achaan beeha nakhdumu leyah"
"8",4,8,"Wa achaan da, al-Kitaab buguul ‹Wakit hu tala’ foog fi l-bakaan al-aali, hu chaal ma’aayah masaajiin katiiriin wa anta le l-naas ataaya›.","wa achaan da alkitaab buguul wakit hu tala foog fi lbakaan alaali hu chaal maaayah masaajiin katiiriin wa anta le lnaas ataaya"
"9",4,9,"Wa «hu tala’ foog» ma’anaatah chunu ? Ma’anaatah al-Masiih awwal nazal tihit wa dakhal fi lubb al-ard.","wa hu tala foog maanaatah chunu  maanaatah almasiih awwal nazal tihit wa dakhal fi lubb alard"
"10",4,10,"Wa l-nazal da, hu bas al-tala’ foog fi l-samaawaat achaan gudurtah tamla kulla cheyy.","wa lnazal da hu bas altala foog fi lsamaawaat achaan gudurtah tamla kulla cheyy"
"11",4,11,"Wa hu bas al-anta ataaya le l-naas. Wa naas waahidiin hu ja’alaahum rusul wa waahidiin ja’alaahum anbiya wa waahidiin ja’alaahum mubachchiriin wa waahidiin ja’alaahum chuyuukh wa mu’allimiin.","wa hu bas alanta ataaya le lnaas wa naas waahidiin hu jaalaahum rusul wa waahidiin jaalaahum anbiya wa waahidiin jaalaahum mubachchiriin wa waahidiin jaalaahum chuyuukh wa muallimiin"
"12",4,12,"Wa antaahum ataaya achaan humman yijahhuzu cha’abah al-saalihiin le yakhdumu leyah fi chaan ummat al-Masiih tabga gawiiye.","wa antaahum ataaya achaan humman yijahhuzu chaabah alsaalihiin le yakhdumu leyah fi chaan ummat almasiih tabga gawiiye"
"13",4,13,"Wa yisawwu khidmithum lahaddi kullina sawa nalhago al-wihda fi l-iimaan wa na’arfu Ibn Allah tamaam. Wa kullina nabgo aagliin lahaddi ayyi waahid yabga tamaam misil al-Masiih hu tamaam.","wa yisawwu khidmithum lahaddi kullina sawa nalhago alwihda fi liimaan wa naarfu ibn allah tamaam wa kullina nabgo aagliin lahaddi ayyi waahid yabga tamaam misil almasiih hu tamaam"
"14",4,14,"Wa misil da, ma nabgo battaan misil iyaal ma induhum sabaat. Humman misil maraakib dugaag fi l-bahar. Ma induhum gudra foog al-challaal al-biwaddiihum wa la l-riih al-tusuughum, awwal fi nuss waahid wa ba’adeen fi nuss aakhar. Wa fi l-masal da, al-riih wa l-challaal humman al-ta’liim al-ma sahiih al-waahidiin yi’allumu beyah wa l-najaada al-yukhuchchu beeha al-naas wa yiwadduruuhum.","wa misil da ma nabgo battaan misil iyaal ma induhum sabaat humman misil maraakib dugaag fi lbahar ma induhum gudra foog alchallaal albiwaddiihum wa la lriih altusuughum awwal fi nuss waahid wa baadeen fi nuss aakhar wa fi lmasal da alriih wa lchallaal humman altaliim alma sahiih alwaahidiin yiallumu beyah wa lnajaada alyukhuchchu beeha alnaas wa yiwadduruuhum"
"15",4,15,"Akheer niballukhu al-hagg be mahabba wa misil da nakburu nabgo aagliin fi kulla cheyy be alaakhitna ma’a l-Masiih. Hu bas raasna","akheer niballukhu alhagg be mahabba wa misil da nakburu nabgo aagliin fi kulla cheyy be alaakhitna maa lmasiih hu bas raasna"
"16",4,16,"wa beyah hu al-jisim yabga waahid wa kulla l-mafaasil yinrabtu ambeenaathum. Wa wakit ayyi udu yisawwi khidimtah adiil, al-jisim al-kaamil yakbur wa yabga gawi be l-mahabba.","wa beyah hu aljisim yabga waahid wa kulla lmafaasil yinrabtu ambeenaathum wa wakit ayyi udu yisawwi khidimtah adiil aljisim alkaamil yakbur wa yabga gawi be lmahabba"
"17",4,17,"Niwassiiku be usum al-Rabb, asma’o kalaami adiil. Ma ti’iichu battaan misil al-naas al-ma ba’arfu Allah. Humman yitaabu’u al-fikir al-baatil.","niwassiiku be usum alrabb asmao kalaami adiil ma tiiichu battaan misil alnaas alma baarfu allah humman yitaabuu alfikir albaatil"
"18",4,18,"Wa gaa’idiin fi l-dalaam wa ma faahimiin al-hagg. Wa ma ya’arfu al-haya al-Allah yidoor yantiiha leehum achaan al-jahal gaa’id fooghum wa raashum bigi gawi.","wa gaaidiin fi ldalaam wa ma faahimiin alhagg wa ma yaarfu alhaya alallah yidoor yantiiha leehum achaan aljahal gaaid fooghum wa raashum bigi gawi"
"19",4,19,"Guluubhum maytiin wa sallamo nufuushum le chahwaathum al-fasliin. Be niiye waahide yitaabu’u al-haal al-cheene.","guluubhum maytiin wa sallamo nufuushum le chahwaathum alfasliin be niiye waahide yitaabuu alhaal alcheene"
"20",4,20,"Wa laakin intu allamtu min ta’liim al-Masiih haal chig min di.","wa laakin intu allamtu min taliim almasiih haal chig min di"
"21",4,21,"Akiid, kalaam al-Masiih simi’tuuh wa be alaakhitku ma’aayah allamtu al-hagg achaan al-hagg gaa’id foog Isa.","akiid kalaam almasiih simituuh wa be alaakhitku maaayah allamtu alhagg achaan alhagg gaaid foog isa"
"22",4,22,"Fi l-cheyy al-bukhuss al-haal al-intu awwal aaychiin beeha, simi’tu laazim tikhalluuha minku marra waahid wa ma titaabu’u battaan chahwat guluubku al-gadiime. Awwal chahwatku di khachchatku wa tallafat guluubku.","fi lcheyy albukhuss alhaal alintu awwal aaychiin beeha simitu laazim tikhalluuha minku marra waahid wa ma titaabuu battaan chahwat guluubku algadiime awwal chahwatku di khachchatku wa tallafat guluubku"
"23",4,23,"Wa simi’tu laazim talgo min Allah al-agul al-jadiid","wa simitu laazim talgo min allah alagul aljadiid"
"24",4,24,"wa laazim tichiilu minnah al-galib al-jadiid wa tabgo naas judaad al-tichaabuhu Allah fi haalku. Khalli haalku tabga adiile wa saalhe be l-sahiih.","wa laazim tichiilu minnah algalib aljadiid wa tabgo naas judaad altichaabuhu allah fi haalku khalli haalku tabga adiile wa saalhe be lsahiih"
"25",4,25,"Wa achaan da, abadan ma takdubu. Khalli ayyi waahid yihajji le akhuuh be kalaam sahiih achaan aniina kullina waahid.","wa achaan da abadan ma takdubu khalli ayyi waahid yihajji le akhuuh be kalaam sahiih achaan aniina kullina waahid"
"26",4,26,"Kan zi’iltu ma takhto. Barrudu guluubku gubbaal al-harraay ma taga’.","kan ziiltu ma takhto barrudu guluubku gubbaal alharraay ma taga"
"27",4,27,"Ma tantu fursa le Ibliis.","ma tantu fursa le ibliis"
"28",4,28,"Kan naadum awwal sarraag, khalli ma yasrig battaan. Fi badal al-sirge, khalli yakhdim be wakharah wa duraa’ah. Wa misil da, min ujurtah yagdar yakrub nafsah wa yisaa’id al-naas al-muhtaajiin.","kan naadum awwal sarraag khalli ma yasrig battaan fi badal alsirge khalli yakhdim be wakharah wa duraaah wa misil da min ujurtah yagdar yakrub nafsah wa yisaaid alnaas almuhtaajiin"
"29",4,29,"Abadan ma tihajju kalaam cheen. Waajib tihajju daayman kalaam sameh al-yigawwi al-naas wa l-kalaam al-muwaafig leehum achaan yabga baraka le l-naas al-yasma’ooh.","abadan ma tihajju kalaam cheen waajib tihajju daayman kalaam sameh alyigawwi alnaas wa lkalaam almuwaafig leehum achaan yabga baraka le lnaas alyasmaooh"
"30",4,30,"Ma tihajju be kalaam fasil achaan kalaam fasil yiwaji’ al-Ruuh al-Khudduus al-Allah nazzalah foogku. Hu al-wasim al-Allah yi’akkid beyah kadar fi l-yoom al-akhiir Allah yafdaaku marra waahid.","ma tihajju be kalaam fasil achaan kalaam fasil yiwaji alruuh alkhudduus alallah nazzalah foogku hu alwasim alallah yiakkid beyah kadar fi lyoom alakhiir allah yafdaaku marra waahid"
"31",4,31,"Khalli al-za’al wa l-khabiine wa l-khadab wa l-huraaj wa l-gatii’e yabgo ma fiihum ambeenaatku wa khallu minku al-hasiife.","khalli alzaal wa lkhabiine wa lkhadab wa lhuraaj wa lgatiie yabgo ma fiihum ambeenaatku wa khallu minku alhasiife"
"32",4,32,"Sawwu al-zeen le ayyi naadum wa alhaanano. Wa assaamaho ambeenaatku misil Allah saamahaaku wakit najjaaku be l-Masiih.","sawwu alzeen le ayyi naadum wa alhaanano wa assaamaho ambeenaatku misil allah saamahaaku wakit najjaaku be lmasiih"
